"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Kindred","Jungle",4,"2.8%","2.8%","5.7%","25%","100%",9,12,16,2.1,"78.1%","21.8%","0%",-466,-671,-15.3,6.1,"17.7%",323,"21.4%","19.3%",0.67,0.43
"Kled","Middle",2,"1.4%","0.0%","1.4%","100%","100%",6,6,18,4,"55.8%","20.0%","0%",-209,102,-0.5,8.5,"26.6%",378,"16.3%","22.3%",0.38,0.35
"LeBlanc","Middle",4,"2.8%","1.4%","4.3%","25%","75%",11,10,9,2,"66.7%","17.5%","25%",-24,-243,-9,7.7,"20.3%",399,"24.7%","22.3%",0.32,0.32
"Lee Sin","Jungle",5,"3.5%","1.4%","5.0%","60%","100%",15,9,39,6,"75.0%","18.8%","40%",-446,-517,-14.3,5.6,"15.6%",269,"12.5%","18.3%",0.61,0.39
"Leona","Support",59,"41.8%","29.8%","71.6%","51%","31%",37,214,424,2.2,"62.5%","27.9%","31%",37,-30,0.7,1.3,"2.9%",113,"6.3%","8.9%",1.6,0.44
"Lillia","Jungle",39,"27.7%","13.5%","41.1%","49%","59%",119,109,252,3.4,"67.2%","19.2%","28%",90,101,4.1,6.4,"17.5%",408,"20.5%","19.5%",0.56,0.35
"Lucian","ADC",2,"1.4%","12.1%","17.7%","0%","100%",6,5,8,2.8,"73.7%","11.6%","50%",805,213,13.5,8.9,"30.9%",495,"28.1%","28.0%",0.53,0.45
"Lucian","Middle",4,"2.8%","12.1%","17.7%","75%","75%",15,3,23,12.7,"69.1%","9.4%","25%",319,128,3.5,9.4,"28.4%",504,"26.2%","25.7%",0.39,0.29
"Lucian","Top",2,"1.4%","12.1%","17.7%","100%","50%",5,6,13,3,"66.7%","42.9%","50%",629,81,29,8.8,"24.7%",404,"25.3%","24.8%",0.36,0.35
"Malphite","Top",1,"0.7%","4.3%","5.0%","0%","0%",0,3,4,1.3,"50.0%","15.0%","0%",-301,-250,-15,6.3,"18.5%",344,"21.1%","17.3%",0.43,0.18
"Maokai","Support",8,"5.7%","1.4%","7.1%","50%","100%",8,28,54,2.2,"56.9%","22.6%","13%",-143,-173,0.8,1.1,"2.7%",402,"20.3%","8.4%",1.33,0.35
"Miss Fortune","ADC",17,"12.1%","4.3%","16.3%","47%","59%",52,29,81,4.6,"67.2%","14.3%","6%",-39,-126,-3.2,9.9,"32.6%",502,"26.3%","26.7%",0.44,0.39
"Morgana","Support",1,"0.7%","0.0%","0.7%","0%","100%",1,3,10,3.7,"100.0%","18.8%","100%",130,529,7,1.4,"3.2%",126,"9.0%","11.3%",1.76,0.47
"Nautilus","Support",10,"7.1%","1.4%","8.5%","10%","70%",8,41,57,1.6,"65.7%","23.8%","30%",-128,-111,-0.4,1.2,"2.4%",139,"8.7%","8.5%",1.66,0.29
"Neeko","Middle",1,"0.7%","0.0%","0.7%","100%","100%",7,1,13,20,"80.0%","9.1%","-","-","-","-","-","-",601,"21.1%","20.8%",0.47,0.36
"Nidalee","Jungle",22,"15.6%","41.8%","57.4%","64%","59%",70,43,132,4.7,"64.3%","16.3%","32%",264,236,2.9,6.4,"18.0%",393,"19.2%","19.5%",0.86,0.62
"Nocturne","Jungle",1,"0.7%","0.0%","0.7%","0%","100%",0,5,2,0.4,"100.0%","23.8%","0%",-928,-816,-19,5.7,"17.3%",291,"17.2%","19.1%",0.22,0.26
"Olaf","Jungle",59,"41.8%","52.5%","94.3%","53%","32%",189,144,295,3.4,"64.4%","19.9%","24%",-98,-62,-0.2,6,"16.0%",344,"18.9%","19.3%",0.34,0.42
"Orianna","Middle",62,"44.0%","27.0%","72.3%","53%","35%",170,116,452,5.4,"74.3%","15.5%","11%",-33,144,1.7,8.9,"25.0%",465,"25.1%","23.3%",0.43,0.26
"Orianna","Top",2,"1.4%","27.0%","72.3%","50%","100%",6,4,17,5.8,"76.7%","15.4%","0%",773,831,28,8.7,"23.5%",692,"32.9%","21.7%",0.45,0.24
