"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Quinn","Top",4,"4.1%","8.2%","12.2%","75%","100%",15,16,15,1.9,"68.2%","41.0%","25%",232,-175,5,8.9,"26.5%",712,"36.7%","24.7%",0.52,0.15
"Rakan","Support",16,"16.3%","10.2%","26.5%","31%","81%",8,51,113,2.4,"74.2%","21.6%","0%",24,18,-0.8,1,"3.0%",144,"8.3%","8.1%",2.38,0.54
"Rell","Support",35,"35.7%","27.6%","63.3%","57%","23%",14,117,282,2.5,"63.0%","27.5%","29%",-86,-71,1.5,1.1,"2.6%",134,"7.4%","8.0%",1.67,0.41
"Renekton","Top",26,"26.5%","48.0%","74.5%","62%","27%",52,47,130,3.9,"56.0%","18.7%","31%",108,21,2.7,8.9,"25.3%",391,"23.1%","22.9%",0.38,0.28
"Rumble","Middle",1,"1.0%","3.1%","5.1%","100%","100%",3,2,7,5,"52.6%","40.0%","100%",623,542,11,9.3,"25.9%",711,"26.5%","22.8%",0.43,0.4
"Rumble","Top",1,"1.0%","3.1%","5.1%","0%","0%",1,5,3,0.8,"44.4%","21.7%","100%",61,-512,0,6.4,"18.0%",605,"28.7%","18.9%",0.38,0.06
"Ryze","Middle",1,"1.0%","0.0%","1.0%","100%","100%",7,2,7,7,"82.4%","14.3%","0%",514,607,18,11.4,"32.1%",578,"23.8%","29.9%",0.38,0.7
"Samira","ADC",41,"41.8%","33.7%","75.5%","46%","56%",187,93,139,3.5,"66.0%","16.8%","24%",0,45,-0.9,9,"28.2%",348,"19.4%","26.2%",0.44,0.35
"Senna","ADC",3,"3.1%","2.0%","6.1%","33%","67%",9,3,18,9,"81.8%","11.5%","33%",160,446,8.3,7.9,"23.3%",478,"24.9%","22.9%",0.42,0.45
"Senna","Support",1,"1.0%","2.0%","6.1%","0%","0%",1,5,6,1.4,"70.0%","20.0%","0%",138,-256,6,0.8,"2.5%",341,"16.2%","12.0%",1.58,0.4
"Seraphine","Middle",3,"3.1%","27.6%","38.8%","33%","0%",5,4,24,7.3,"96.7%","10.8%","33%",-315,-461,-12.7,7.8,"20.3%",388,"20.4%","20.9%",0.45,0.39
"Seraphine","Support",8,"8.2%","27.6%","38.8%","50%","75%",5,19,79,4.4,"84.8%","20.4%","38%",147,199,-9,1,"4.2%",259,"12.8%","10.9%",1.49,0.45
"Sett","Middle",4,"4.1%","14.3%","34.7%","50%","100%",9,8,29,4.8,"63.3%","18.6%","0%",-274,-90,-7.8,7.2,"19.3%",280,"15.7%","20.3%",0.41,0.22
"Sett","Support",15,"15.3%","14.3%","34.7%","27%","60%",17,55,63,1.5,"58.0%","27.0%","33%",162,66,2.9,1.4,"3.5%",147,"9.0%","8.8%",1.75,0.53
"Sett","Top",1,"1.0%","14.3%","34.7%","100%","0%",1,1,7,8,"47.1%","12.5%","0%",-655,-607,-16,6.6,"19.3%",349,"19.4%","17.9%",0.44,0.13
"Shen","Support",3,"3.1%","1.0%","4.1%","33%","67%",6,9,23,3.2,"70.7%","22.0%","100%",317,344,1.7,1.4,"3.4%",121,"7.1%","9.5%",2.21,0.5
"Sion","Top",7,"7.1%","2.0%","9.2%","57%","71%",8,15,46,3.6,"60.0%","17.0%","14%",-256,-101,-11.9,7.2,"20.7%",390,"20.1%","19.0%",0.49,0.23
"Sylas","Middle",1,"1.0%","2.0%","6.1%","0%","100%",1,5,4,1,"83.3%","17.9%","0%",-1223,504,-12,7.4,"26.6%",300,"15.8%","22.0%",0.45,0.15
"Sylas","Top",3,"3.1%","2.0%","6.1%","67%","100%",9,9,21,3.3,"76.9%","20.5%","100%",194,108,-3,7.5,"23.0%",569,"30.5%","22.6%",0.37,0.11
"Syndra","Middle",39,"39.8%","18.4%","58.2%","62%","46%",89,73,193,3.9,"59.0%","16.3%","26%",2,25,2.2,8.8,"24.7%",463,"25.0%","22.1%",0.47,0.18
"Tahm Kench","Support",2,"2.0%","0.0%","2.0%","0%","50%",0,10,5,0.5,"33.3%","31.3%","0%",-477,-460,2,1.1,"3.2%",107,"5.3%","6.6%",1.51,0.37
"Taliyah","Jungle",16,"16.3%","81.6%","98.0%","88%","0%",53,39,106,4.1,"59.1%","27.7%","38%",194,138,2.1,6.8,"17.9%",353,"18.3%","18.7%",0.85,0.53
"Thresh","Support",24,"24.5%","15.3%","39.8%","54%","21%",10,63,176,3,"75.0%","24.8%","21%",-42,-59,1.9,1.2,"2.4%",90,"5.2%","8.4%",1.74,0.44
"Twisted Fate","Middle",11,"11.2%","30.6%","41.8%","27%","55%",25,22,67,4.2,"70.2%","13.9%","45%",478,-169,-0.9,8.7,"25.3%",455,"24.2%","26.0%",0.36,0.3
"Udyr","Jungle",22,"22.4%","17.3%","39.8%","41%","59%",39,50,152,3.8,"72.1%","18.1%","9%",-117,100,4.8,6.2,"16.4%",215,"11.3%","18.4%",0.43,0.71
"Vayne","ADC",7,"7.1%","0.0%","7.1%","57%","100%",28,17,24,3.1,"61.9%","21.5%","14%",-241,-102,-6.4,9,"29.0%",380,"21.3%","25.2%",0.43,0.44
"Viktor","Middle",19,"19.4%","6.1%","25.5%","47%","89%",61,40,98,4,"66.8%","15.7%","11%",-119,-42,-2.2,9.3,"27.7%",668,"35.5%","24.9%",0.51,0.22
"Volibear","Top",4,"4.1%","2.0%","6.1%","50%","100%",5,8,14,2.4,"61.3%","22.9%","0%",-291,-74,-1,7.7,"20.2%",366,"25.6%","20.8%",0.35,0.18
"Wukong","Top",1,"1.0%","0.0%","1.0%","0%","0%",1,4,4,1.3,"45.5%","26.7%","0%",-669,-697,-26,6.6,"20.3%",308,"20.5%","18.0%",0.33,0.18
"Xayah","ADC",20,"20.4%","5.1%","25.5%","45%","95%",56,45,77,3,"66.8%","18.0%","5%",-137,17,-5.1,10,"33.2%",473,"26.1%","27.4%",0.45,0.43
"Yone","Middle",8,"8.2%","17.3%","25.5%","50%","13%",23,14,42,4.6,"62.5%","15.9%","13%",22,199,-0.5,9.7,"27.4%",432,"24.9%","24.8%",0.45,0.34
"Zoe","Middle",27,"27.6%","17.3%","44.9%","44%","41%",61,50,128,3.8,"68.2%","15.9%","19%",11,-41,-0.5,8.3,"23.7%",501,"28.0%","22.5%",0.47,0.2
