"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Riven","Top",1,"2.2%","0.0%","2.2%","100%","100%",11,0,9,20,"80.0%","0.0%","0%",658,296,-2,9.1,"30.1%",680,"36.4%","29.1%",0.62,0.14
"Rumble","-",0,"0%","2.2%","2.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ryze","Middle",4,"8.9%","8.9%","17.8%","100%","75%",15,8,22,4.6,"56.1%","20.5%","0%",114,174,9.3,9.8,"29.8%",529,"24.2%","25.2%",0.42,0.09
"Samira","ADC",7,"15.6%","11.1%","26.7%","57%","100%",41,20,44,4.3,"67.5%","18.3%","43%",244,-186,-1.4,8.2,"27.7%",491,"23.2%","25.6%",0.47,0.31
"Senna","ADC",3,"6.7%","17.8%","24.4%","67%","33%",18,5,31,9.8,"80.3%","9.6%","0%",-17,384,-17.7,7,"26.3%",814,"28.7%","25.3%",0.49,0.46
"Seraphine","ADC",1,"2.2%","4.4%","17.8%","100%","100%",0,0,10,10,"90.9%","0.0%","0%",-308,-438,-17,6.8,"21.3%",339,"18.3%","17.5%",0.53,0.25
"Seraphine","Middle",2,"4.4%","4.4%","17.8%","100%","100%",6,3,26,10.7,"64.0%","14.3%","0%",-272,-224,-8,6.8,"17.2%",300,"13.8%","17.1%",0.63,0.1
"Seraphine","Support",3,"6.7%","4.4%","17.8%","33%","67%",0,11,19,1.7,"70.4%","31.4%","33%",104,-1,-9,0.7,"2.7%",136,"8.3%","8.5%",1.31,0.35
"Sett","Support",3,"6.7%","6.7%","13.3%","67%","67%",0,13,15,1.2,"55.6%","56.5%","33%",40,-290,-2,1.3,"3.2%",147,"8.8%","8.1%",1.5,0.45
"Shen","Top",1,"2.2%","0.0%","2.2%","0%","100%",1,2,5,3,"66.7%","13.3%","0%",223,357,15,7.5,"20.8%",296,"17.8%","19.0%",0.3,0.21
"Sion","Top",1,"2.2%","0.0%","2.2%","0%","100%",0,6,11,1.8,"50.0%","25.0%","100%",-778,-405,-25,5.6,"18.3%",518,"14.5%","15.1%",0.31,0.12
"Sivir","ADC",1,"2.2%","2.2%","4.4%","100%","100%",9,0,9,18,"78.3%","0.0%","0%",-213,-105,3,10.2,"36.2%",747,"28.9%","28.4%",0.44,0.28
"Skarner","Jungle",2,"4.4%","2.2%","6.7%","50%","50%",2,3,13,5,"71.4%","13.0%","0%",128,-276,-9.5,4.7,"11.9%",126,"8.4%","15.5%",0.37,0.43
"Sylas","Middle",2,"4.4%","4.4%","8.9%","0%","100%",3,4,4,1.8,"53.8%","16.0%","50%",-319,184,-1.5,8.7,"28.8%",284,"23.5%","25.3%",0.29,0.19
"Syndra","Middle",10,"22.2%","26.7%","48.9%","10%","70%",21,34,26,1.4,"54.7%","20.4%","20%",-48,-73,-1.3,8.5,"26.4%",497,"28.4%","24.2%",0.41,0.14
"Tahm Kench","Support",1,"2.2%","0.0%","2.2%","100%","0%",0,4,19,4.8,"79.2%","18.2%","0%",1098,359,57,4.3,"7.3%",255,"8.0%","13.3%",0.82,0.09
"Taliyah","Jungle",7,"15.6%","64.4%","80.0%","86%","0%",32,16,57,5.6,"70.1%","22.2%","43%",330,373,6.1,7,"20.4%",444,"22.5%","20.7%",0.47,0.28
